trimestre;ano;valor
1;2010;886,40
2;2010;944,15
3;2010;997,94
4;2010;1057,37
1;2011;1016,53
2;2011;1086,71
3;2011;1112,33
4;2011;1160,81
1;2012;1129,47
2;2012;1183,13
3;2012;1230,45
4;2012;1271,71
1;2013;1241,61
2;2013;1322,58
3;2013;1354,13
4;2013;1413,29
1;2014;1385,98
2;2014;1422,32
3;2014;1462,13
4;2014;1508,52
1;2015;1456,65
2;2015;1479,97
3;2015;1508,23
4;2015;1550,94
1;2016;1500,32
2;2016;1559,07
3;2016;1577,17
4;2016;1632,77
1;2017;1585,59
2;2017;1630,64
3;2017;1648,63
4;2017;1720,63
1;2018;1682,46
2;2018;1734,45
3;2018;1767,87
4;2018;1819,36
1;2019;1756,05
2;2019;1825,14
3;2019;1880,55
4;2019;1927,39
1;2020;1873,40
2;2020;1757,52
3;2020;1929,70
4;2020;2048,98
1;2021;2152,62
2;2021;2182,05
3;2021;2254,49
4;2021;2309,56
1;2022;2315,71
2;2022;2471,84
3;2022;2543,65