mês;ano ;valor
janeiro;2005;47,73022
fevereiro;2005;43,32036
março;2005;49,71898
abril;2005;48,42196
maio;2005;50,49719
junho;2005;48,94077
julho;2005;51,18893
agosto;2005;51,10246
setembro;2005;48,76783
outubro;2005;52,22655
novembro;2005;51,88067
dezembro;2005;72,89235
janeiro;2006;51,2754
fevereiro;2006;46,26027
março;2006;51,18893
abril;2006;52,14008
maio;2006;53,09122
junho;2006;50,75659
julho;2006;52,14008
agosto;2006;53,61003
setembro;2006;53,52356
outubro;2006;55,59879
novembro;2006;55,94466
dezembro;2006;76,69693
janeiro;2007;54,12884
fevereiro;2007;50,84306
março;2007;58,36576
abril;2007;57,76048
maio;2007;60,78686
junho;2007;58,36576
julho;2007;58,62516
agosto;2007;60,87332
setembro;2007;60,26805
outubro;2007;62,17034
novembro;2007;64,59144
dezembro;2007;87,33247
janeiro;2008;62,17034
fevereiro;2008;59,3169
março;2008;67,70428
abril;2008;63,81323
maio;2008;70,38478
junho;2008;65,54259
julho;2008;66,40726
agosto;2008;69,5201
setembro;2008;67,70428
outubro;2008;70,90359
novembro;2008;69,69304
dezembro;2008;92,77994
janeiro;2009;67,61781
fevereiro;2009;62,94855
março;2009;68,82836
abril;2009;70,21185
maio;2009;73,23822
junho;2009;70,29831
julho;2009;71,6818
agosto;2009;73,75703
setembro;2009;72,02767
outubro;2009;77,73454
novembro;2009;76,7834
dezembro;2009;100,47557
janeiro;2010;75,57285
fevereiro;2010;70,55772
março;2010;79,98271
abril;2010;76,95633
maio;2010;80,67445
junho;2010;78,51275
julho;2010;79,4639
agosto;2010;81,02032
setembro;2010;79,7233
outubro;2010;83,61435
novembro;2010;83,09555
dezembro;2010;110,67877
janeiro;2011;80,76092
fevereiro;2011;74,6217
março;2011;83,26848
abril;2011;83,35495
maio;2011;85,08431
junho;2011;83,61435
julho;2011;84,8249
agosto;2011;84,65197
setembro;2011;83,70082
outubro;2011;87,59187
novembro;2011;88,28361
dezembro;2011;117,76913
janeiro;2012;88,02421
fevereiro;2012;83,87376
março;2012;93,73109
abril;2012;88,97536
maio;2012;93,21228
junho;2012;90,53178
julho;2012;92,17466
agosto;2012;95,0281
setembro;2012;92,26113
outubro;2012;95,80631
novembro;2012;97,53567
dezembro;2012;126,58885
janeiro;2013;92,86641
fevereiro;2013;83,96022
março;2013;98,31388
abril;2013;89,23476
maio;2013;96,67099
junho;2013;92,607
julho;2013;97,4492
agosto;2013;101,68612
setembro;2013;96,58452
outubro;2013;101,94553
novembro;2013;103,58841
dezembro;2013;130,91224
janeiro;2014;98,91915
fevereiro;2014;91,22352
março;2014;97,79507
abril;2014;95,97925
maio;2014;99,8703
junho;2014;92,607
julho;2014;95,28751
agosto;2014;99,09209
setembro;2014;94,16342
outubro;2014;100,90791
novembro;2014;104,10722
dezembro;2014;130,04756