trimestre;ano;Exportações
1 trimestre;1996;12306
2 trimestre;1996;14576
3 trimestre;1996;15560
4 trimestre;1996;15085
1 trimestre;1997;13162
2 trimestre;1997;17402
3 trimestre;1997;18529
4 trimestre;1997;17398
1 trimestre;1998;16099
2 trimestre;1998;18805
3 trimestre;1998;18786
4 trimestre;1998;16781
1 trimestre;1999;22153
2 trimestre;1999;24728
3 trimestre;1999;27646
4 trimestre;1999;29511
1 trimestre;2000;26402
2 trimestre;2000;30239
3 trimestre;2000;33768
4 trimestre;2000;31756
1 trimestre;2001;33576
2 trimestre;2001;40837
3 trimestre;2001;45701
4 trimestre;2001;42667
1 trimestre;2002;34812
2 trimestre;2002;38896
3 trimestre;2002;65894
4 trimestre;2002;72262
1 trimestre;2003;63031
2 trimestre;2003;62162
3 trimestre;2003;66754
4 trimestre;2003;68852
1 trimestre;2004;66313
2 trimestre;2004;82950
3 trimestre;2004;90341
4 trimestre;2004;84321
1 trimestre;2005;77093
2 trimestre;2005;82694
3 trimestre;2005;88087
4 trimestre;2005;83006
1 trimestre;2006;76051
2 trimestre;2006;79742
3 trimestre;2006;98608
4 trimestre;2006;91941
1 trimestre;2007;85074
2 trimestre;2007;89585
3 trimestre;2007;95807
4 trimestre;2007;92083
1 trimestre;2008;80459
2 trimestre;2008;98393
3 trimestre;2008;115435
4 trimestre;2008;126594
1 trimestre;2009;87415
2 trimestre;2009;93900
3 trimestre;2009;92906
4 trimestre;2009;87460
1 trimestre;2010;86801
2 trimestre;2010;105294
3 trimestre;2010;114225
4 trimestre;2010;115900
1 trimestre;2011;103744
2 trimestre;2011;124993
3 trimestre;2011;137086
4 trimestre;2011;141072
1 trimestre;2012;119043
2 trimestre;2012;146496
3 trimestre;2012;153303
4 trimestre;2012;153034
1 trimestre;2013;125321
2 trimestre;2013;156293
3 trimestre;2013;169810
4 trimestre;2013;174627
1 trimestre;2014;144492
2 trimestre;2014;162059
3 trimestre;2014;171655
4 trimestre;2014;158169
1 trimestre;2015;153346
2 trimestre;2015;189848
3 trimestre;2015;212638
4 trimestre;2015;217635
1 trimestre;2016;195363
2 trimestre;2016;208109
3 trimestre;2016;192894
4 trimestre;2016;185211
1 trimestre;2017;192345
2 trimestre;2017;216289
3 trimestre;2017;210483
4 trimestre;2017;205316
1 trimestre;2018;212281
2 trimestre;2018;248761
3 trimestre;2018;288212
4 trimestre;2018;275802
1 trimestre;2019;230603
2 trimestre;2019;263438
3 trimestre;2019;278699
4 trimestre;2019;270821
1 trimestre;2020;260664
2 trimestre;2020;323032
3 trimestre;2020;335336
4 trimestre;2020;335160
1 trimestre;2021;359641
2 trimestre;2021;483585
3 trimestre;2021;461229
4 trimestre;2021;439887